City,Businesses,Total
Cornelius,7955,46369
Gilbert,5009,
Glendale,4039,
Charlotte,2757,
Phoenix,2014,
Concord,1949,
Las Vegas,1877,
Toronto,1261,
Strongsville,1112,
Mesa,1080,
Montréal,1076,
Tempe,1029,
Scottsdale,984,
Parma,963,
Goodyear,878,
Beachwood,792,
Henderson,702,
Dorval,671,
Fort Mill,417,
Peoria,352,
Etobicoke,318,
Markham,274,
Pittsburgh,249,
Scarborough,247,
Surprise,241,
Matthews,230,
Aurora,227,
Calgary,207,
Chandler,201,
Hudson,184,
Madison,179,
Cleveland,171,
Stoughton,163,
Westlake,160,
Vaughan,126,
Fairview Park,105,
Ajax,102,
Mississauga,101,
Gastonia,101,
Pepper Pike,100,
North York,94,
Huntersville,94,
Avondale,93,
Oakville,91,
Twinsburg,88,
Fitchburg,87,
Black Earth,87,
Lakewood,81,
Montreal-Nord,80,
Pineville,79,
Woodmere,78,
Chagrin Falls,78,
Davidson,77,
Brampton,76,
Pittsburg,75,
Thornhill,72,
Middleton,67,
Whitby,66,
Central City Village,63,
Rocky View,62,
Richmond Hill,60,
Canonsburg,59,
Mint Hill,59,
Ben Avon,58,
Belmont,58,
Mayfield Heights,57,
Las  Vegas,54,
North Las Vegas,53,
Bridgeville,51,
Macedonia,51,
Northfield,51,
Cuyahoga Falls,50,
Willoughby,49,
Middleburg Heights,49,
Cave Creek,48,
Dollard-des-Ormeaux,48,
Monroe,48,
Boulder City,47,
New Kensington,46,
Mentor,46,
Litchfield Park,45,
Blue Diamond,45,
Bethel Park,44,
Verona,41,
Independence,41,
Solon,39,
Laveen Village,38,
Warrensville Hts.,37,
South Euclid,37,
Wexford,35,
Champaign,35,
Carnegie,35,
Sun City,34,
Newmarket,33,
Laval,32,
Grafton,32,
Bellevue,32,
Rocky River,32,
Pickering,31,
Richfield,31,
Coraopolis,30,
Painesville,30,
Ahwatukee,29,
Lyndhurst,29,
Willowick,28,
Avon Lake,27,
Berea,27,
Medina,27,
Brook Park,26,
Monroeville,26,
Youngtown,26,
Cheswick,26,
Buckeye,26,
Cleveland Heights,25,
Sainte-Thérèse,25,
Brunswick,24,
Sewickley,24,
Chardon,24,
DeForest,23,
Caledon East,23,
Brossard,23,
Elyria,22,
North Royalton,22,
Montreal,22,
Urbana,21,
Murrysville,21,
Mc Donald,21,
Irwin,20,
Wickliffe,20,
Chargrin Falls,20,
Monona,19,
Munroe Falls,19,
North Randall,18,
Gibsonia,18,
Brooklyn,17,
Kent,17,
Broadview Heights,17,
Indian Trail,17,
Oakmont,17,
Rock Hill,17,
North Olmsted,17,
Dormont,16,
Amherst,16,
Sun Prairie,16,
Stow,16,
Moon Township,16,
Westmount,16,
Homestead,16,
Chambly,16,
Mahomet,15,
Mentor-on-the-Lake,15,
Sainte-Anne-de-Bellevue,14,
Moreland Hills,14,
Mount Lebanon,14,
Kirtland,14,
Avon,14,
Sharpsburg,14,
Woodbridge,13,
Fountain Hills,13,
Brentwood,13,
Mont-Royal,13,
Olmsted Falls,13,
Ballantyne,13,
Mayfield Village,12,
Lorain,12,
Fairlawn,12,
North Toronto,12,
Midland,12,
Saint-Sauveur,11,
Mount Holly,11,
Robinson Township,11,
Carefree,11,
Highland Heights,11,
Akron,10,
Laveen,10,
Saint-Leonard,10,
Eastlake,10,
Euclid,10,
Elrama,10,
Mayfield,9,
Heidelberg,9,
Peninsula,9,
Durham Regional Municipality,9,
El Mirage,9,
glendale,9,
Burton,9,
Mooresville,9,
Longueuil,9,
University Heights,9,
Harrisburg,9,
Sauk City,9,
Enterprise,8,
Bay Village,8,
Edgewood,8,
Caledon,8,
Anthem,8,
Crafton,8,
Warrensville Heights,8,
North Huntingdon,8,
Shaker Heights,7,
Parma Heights,7,
Saint-Laurent,7,
MESA,7,
Streetsboro,7,
McMurray,7,
Springdale,7,
Fort McDowell,6,
Emsworth,6,
Orange Village,6,
Mcmurray,6,
Lasalle,6,
Oakdale,6,
Port Credit,6,
Allison Park,6,
De Forest,6,
Pointe-Claire,6,
Verdun,6,
Hinckley,6,
Sun City West,6,
Paradise Valley,6,
Saint-Sauveur-des-Monts,6,
Bainbridge Township,6,
Greenfield Park,6,
Mcknight,6,
St-Bruno-de-Montarville,6,
East York,6,
Wesley Chapel,6,
Georgetown,5,
Denver,5,
Presto,5,
Maple,5,
Tallmadge,5,
Bainbridge,5,
Millvale,5,
Mascouche,5,
Seven Hills,5,
Munhall,5,
Pierrefonds,5,
Saint-Hubert,5,
Olmsted Township,5,
McKees Rocks,5,
Bedford,5,
PHOENIX AP,5,
Upper St Clair,5,
West Mifflin,5,
Aspinwall,4,
White Oak,4,
Waunakee,4,
Waxhaw,4,
Queen Creek,4,
Stallings,4,
Cramerton,4,
Elizabeth,4,
Saint-Lambert,4,
Bradford West Gwillimbury,4,
Locust,4,
Gormley,4,
N Las Vegas,4,
Clover,4,
Garfield Heights,4,
Bolton,4,
Indian Land,4,
Chesterland,4,
Lowell,4,
Unionville,4,
Fort Mcdowell,4,
Turtle Creek,4,
Elizabeth Township,4,
Lake Wylie,4,
Montral,4,
Mount Horeb,4,
Export,4,
Willoughby Hills,4,
Venetia,4,
lyndhurst,3,
North Versailles,3,
Bellvue,3,
Grand River,3,
Brecksville,3,
Copley,3,
Tarentum,3,
University Ht,3,
Braddock,3,
Mc Murray,3,
Moon,3,
Fairport Harbor,3,
Valley City,3,
Cottage Grove,3,
Sheffield Village,3,
Valley View,3,
Phx,3,
Ross Township,3,
Communauté-Urbaine-de-Montréal,3,
York,3,
Kahnawake,3,
McKeesport,3,
N. Olmsted,3,
Green Tree,3,
Pleasant Hills,3,
Newbury,3,
Stanley,3,
West Homestead,3,
Oregon,3,
King City,3,
Stouffville,3,
Waddell,3,
Ambridge,3,
Airdrie,3,
Balzac,3,
Monongahela,3,
Tuscola,3,
Kirkland,3,
Outremont,3,
Cecil,3,
Tolleson,2,
Mt. Lebanon,2,
Deforest,2,
PITTSBURGH,2,
McFarland,2,
Sainte-Anne-des-Plaines,2,
Maple Heights,2,
Bradford,2,
Wilkinsburg,2,
Orange,2,
Mount Albert,2,
Paradise,2,
SCOTTSDALE,2,
henderson,2,
Apache Junction,2,
Mirabel,2,
Cuyahoga Heights,2,
Upper Saint Clair,2,
Rio Verde,2,
Toronto Division,2,
Wadsworth,2,
Dollard-des Ormeaux,2,
N. Randall,2,
Cross Plains,2,
Bedford Heights,2,
South Las Vegas,2,
Mont-Saint-Grégoire,2,
Etna,2,
Higley,2,
Dollard-Des-Ormeaux,2,
Goodwood,2,
Metro Phoenix,2,
Whitchurch-Stouffville,2,
Sainte-Anne-De-Bellevue,2,
Rantoul,2,
West View,2,
Mayfield Hts,2,
Whiitby,2,
Guadalupe,2,
Leetsdale,2,
Plum,2,
Imperial,2,
Perry,2,
Robinson,2,
Vaudreuil-Dorion,2,
Tornto,2,
Halton Hills,2,
N Ridgeville,2,
Scottdale,2,
Norton,2,
Schomberg,1,
Kleinburg,1,
University Hts ,1,
charlotte,1,
McCandless Township,1,
Saint-Eustache,1,
East Gwillimbury,1,
Woodmere Village,1,
Lower Burrell,1,
Savoy,1,
Boston Heights,1,
W Henderson,1,
Ravenna,1,
Kannapolis,1,
Richmond Heights,1,
St Joseph,1,
Saint-Léonard,1,
W Spring Valley,1,
Ville Mont-Royal,1,
Sheffield,1,
Ingram,1,
Ranlo,1,
Harmarville,1,
Montreal-West,1,
Montréal-Nord,1,
Ahwatukee Foothills Village,1,
McCandless,1,
Finleyville,1,
North Ridgeville,1,
Sunrise,1,
Mckees Rocks,1,
Mt Lebanon,1,
Dallas,1,
Rankin,1,
Belleville,1,
LaSalle,1,
LAS VEGAS AP,1,
Cooksville,1,
L'Île-Bizard,1,
North Olmstead,1,
CALGARY,1,
Anjou,1,
las Vegas,1,
Middleburg Hts,1,
Lachine,1,
Saint-Lazare,1,
Spring Valley,1,
Tega Cay,1,
Peters (Township Of),1,
Dravosburg,1,
Columbia Station,1,
South Park,1,
Delson,1,
Blakeney,1,
Chestermere,1,
Neville Island,1,
Oakwood Village,1,
Columbus,1,
Penn Hills,1,
East Liberty,1,
Rigaud,1,
Summerlin,1,
Richmond Hil,1,
Weddington,1,
Oakland,1,
Wahiawa,1,
Walton Hills,1,
Avalon,1,
La Salle,1,
Russellton,1,
Saint-Philippe,1,
Montréal-Ouest,1,
Lower Lawrenceville,1,
Glassport,1,
Rawdon,1,
Geauga,1,
Indianola,1,
Middlefield,1,
Gates Mills,1,
Ashburn,1,
Upper St. Clair,1,
South Charlotte,1,
Pheonix,1,
Boucherville,1,
Castle Shannon,1,
Swissvale,1,
Marshall,1,
Blawnox,1,
Windsor,1,
Lower burrell,1,
Mc Kees Rocks,1,
St Leonard,1,
Rexdale,1,
L'Île-Perrot,1,
McAdenville,1,
Indian land,1,
Centennial Hills,1,
Brookpark,1,
Mentor On The Lake,1,
Beaconsfield,1,
Thornhil,1,
Glenshaw,1,
Montrose,1,
Rouses Point,1,
River Drive Park,1,
Saint Joseph,1,
St-Sauveur,1,
Hampstead,1,
Saint-Marc-sur-Richelieu,1,
North  York,1,
Trafford,1,
L'Île-des-Sœurs,1,
South Park Township,1,
Lemon Grove,1,
New Eagle,1,
las vegas,1,
Saint-Bernard-de-Lacolle,1,
Etibicoke,1,
Sainte-Geneviève,1,
Saint-Jérôme,1,
Bath,1,
N.Olmsted,1,
East Mc Keesport,1,
Schaumburg,1,
Sun Lakes,1,
PIttsburgh,1,
Wildwood,1,
C Las Vegas,1,
Shadyside,1,
Concord Mills,1,
West Montréal,1,
East Mississauga,1,
Clark,1,
laveen,1,
Westview,1,
N W Las Vegas,1,
Mint  Hill,1,
Hampton Township,1,
Las vegas,1,
Warrensville Hts,1,
La Prairie,1,
Nellis AFB,1,
Midnapore,1,
Clairton,1,
Glen Williams,1,
Rural Ridge,1,
Dollard-Des Ormeaux,1,
Mississuaga,1,
solon,1,
Homer,1,
4321 W Flamingo Rd,1,
Parma Hts,1,
Thorncliffe Park,1,
Moon TWP,1,
Erie,1,
Bedford Hts,1,
Duquesne,1,
South Amherst,1,
Ste-Rose,1,
Uxbridge,1,
Mc Farland,1,
Lawrenceville,1,
Peters Township,1,
Rosemère,1,
Central Henderson,1,
Henderson (Green Valley),1,
Brookline,1,
Lake Park,1,
N.Las Vegas,1,
Don Mills,1,
Fox Chapel,1,
Nobleton,1,
Harrison City,1,
Robinson Twp.,1,
Paoli,1,
Summerlin South,1,
Brooklyn Heights,1,
Queen creek,1,
North Huntington,1,
St-Jerome,1,
Richmonhill,1,
Cranberry Twp,1,
Hiram,1,
Central City,1,
Missisauga,1,
Oakwood,1,
Lufkin,1,
Piedmont,1,
Richmond Hts,1,
Monticello,1,
Shaler Township,1,
Milton,1,
"Lakewood, Oh",1,
Le Sud-Ouest,1,
Broadview Hts,1,
Glendale Az,1,
Estérel,1,
Saint-Henri,1,
Baldwin,1,
CLEVELAND AP,1,
Brooklin,1,
Downsview,1,
Deerfield,1,
King,1,
Brunswick Hills,1,
Russell Twp,1,
Central,1,
Mcfarland,1,
Downtown,1,
